Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,12/13/2023 09:00:00 PM,3,1,"Learn to Swim: Children ADV. Swimmer Level 5 - Wednesdays, 4pm"
,B,St. John's Recreation Center,Level 1,11/05/2022 03:30:00 PM,24,24,St. Johns Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,10/25/2024 05:00:00 PM,11,6,FMAC: Senior Learn to Swim (Level 3)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,07/23/2024 04:00:00 PM,16,6,FMAC: Adult Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,02/03/2024 05:00:00 PM,15,9,"Learn to Swim: Parent and Tiny Tots - (Saturdays, 12pm)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,08/14/2024 09:00:00 PM,14,6,FMAC: Children's Learn to Swim (Level 4)
,Q,Roy Wilkins Recreation Center,Level 2,11/23/2024 03:30:00 PM,23,12,Roy Wilkins: Children's Learn to Swim (Level 2)
3,X,Crotona Pool,Level 1,08/12/2024 06:00:00 PM,55,23,Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Roy Wilkins Recreation Center,Adult,06/08/2024 05:00:00 PM,26,12,Roy Wilkins Learn to Swim: Adults - Saturday
1,X,Crotona Pool,Level 1B,07/20/2023 06:00:00 PM,48,23,Session I Children Learn to Swim Crotona Pool Level 1B
,B,Metropolitan Pool & Recreation Center,Level 1,01/21/2023 04:00:00 PM,18,6,Metropolitan Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,09/30/2023 05:15:00 PM,13,9,"Flushing Meadows Aquatics Center - Adult Learn to Swim Level 1 (Saturdays, 1:15pm)"
,B,Metropolitan Pool & Recreation Center,,05/01/2023 08:00:00 PM,37,27,Metropolitan Learn to Swim: Children - Mondays
3,,Hamilton Fish Pool,Level 2,08/21/2024 03:00:00 PM,,9,Session 3: Hamilton Fish Pool - Children's Learn to Swim Level 2 (Class A)
,M,Chelsea Recreation Center,Tot,10/26/2024 03:30:00 PM,,13,Chelsea: Tots Learn to Swim
,Q,Roy Wilkins Recreation Center,Level 2,11/05/2022 02:30:00 PM,14,14,Roy Wilkins Saturday Children Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,,05/25/2023 08:00:00 PM,16,15,Roy Wilkins' Learn To Swim: Children - Thursdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,04/05/2023 08:00:00 PM,7,4,"Learn to Swim: Children Intermediate Level 3 - Wednesdays, 4pm"
,M,Gertrude Ederle Recreation Center,Seniors,12/14/2023 06:00:00 PM,15,7,Gertrude Ederle Learn to Swim: Seniors
,,Offsite Locations,,04/23/2024 02:15:00 PM,30,17,Holiday Learn to Swim Curtis High School Class A
,Q,Roy Wilkins Recreation Center,,04/15/2024 08:00:00 PM,20,5,Roy Wilkins SQPA Learn to Swim: Children - Monday
,M,Constance Baker Motley Recreation Center,Level 2,08/18/2023 05:00:00 PM,30,12,Constance Baker Motley Recreation Center - Children's Learn to Swim Level 2 (Fridays)
,X,Crotona Pool,Level 4,08/29/2024 05:00:00 PM,,8,Advanced: Crotona Pool - Children's Learn to Swim Level 4
,M,Gertrude Ederle Recreation Center,Tot,01/22/2022 05:30:00 PM,12,2,Gertrude Ederle Learn to Swim: Tots
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,06/17/2024 08:00:00 PM,15,5,"Flushing Meadows Aquatic Center Children Learn to Swim: Intermediate Level 3 - Mondays, 4pm"
