Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
,M,Asser Levy Recreation Center,Level 1,03/05/2022 05:30:00 PM,14,13,Asser Levy Learn to Swim: Children Level 1
,M,Gertrude Ederle Recreation Center,,04/30/2024 08:00:00 PM,34,12,Gertrude Ederle Children Learn to Swim: Tuesdays
1,R,Lyons Pool,Tot,07/11/2024 03:00:00 PM,20,13,Session 1: Lyons Pool - Tots Learn to Swim (Class A)
,M,Chelsea Recreation Center,Adult,11/18/2023 05:00:00 PM,30,16,Chelsea Learn to Swim: Adults
3,B,Red Hook Pool,Level 2,08/21/2024 03:00:00 PM,,11,Session 3: Red Hook Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,07/15/2024 06:00:00 PM,,3,FMAC: Learn to Swim: Children's Water Test Monday 6pm (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,08/02/2024 04:00:00 PM,5,4,FMAC: Senior Learn to Swim (Level 3)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,05/08/2023 11:00:00 PM,11,6,"Learn to Swim: Children Beginner Level 1 - Mondays, 7pm"
,Q,Fisher Pool,Tot,07/20/2023 03:00:00 PM,10,5,Session l Tots Learn to Swim Fisher Pool Class A
2,Q,Fisher Pool,Level 1,07/29/2024 05:00:00 PM,19,12,Session 2: Fisher Pool - Children's Learn to Swim Level 1 (Class A)
,M,Asser Levy Recreation Center,Seniors,03/09/2023 07:30:00 PM,10,5,Asser Levy Learn to Swim: Seniors - ADMIN ONLY
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,05/03/2023 09:00:00 PM,12,8,"Learn to Swim: Children Beginner Level 1 - Wednesdays, 5pm"
3,,Hamilton Fish Pool,Level 1,08/09/2024 06:00:00 PM,48,15,Session 3: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class B)
,B,St. John's Recreation Center,Seniors,01/18/2024 02:00:00 PM,37,26,St. John's Learn to Swim: Seniors
,B,St. John's Recreation Center,Level 1,04/06/2024 03:30:00 PM,30,25,St. John's Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,04/19/2023 03:00:00 PM,13,6,Learn to Swim: Parent and Tiny Tots Wednesdays
,M,Gertrude Ederle Recreation Center,,12/28/2023 09:00:00 PM,25,7,Gertrude Ederle Learn to Swim: Children - Thursdays
,M,Gertrude Ederle Recreation Center,Level 1,12/23/2023 03:30:00 PM,17,5,Gertrude Ederle Saturday Learn to Swim Level 1
2,,Hamilton Fish Pool,Level 1,07/29/2024 05:00:00 PM,,17,Session 2: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,04/29/2023 05:15:00 PM,8,3,Learn to Swim: Adult Beginner Level 1 - Saturdays
,Q,Roy Wilkins Recreation Center,,04/23/2024 08:00:00 PM,26,9,Roy Wilkins Learn To Swim: Children - Tuesday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,06/03/2023 06:00:00 PM,11,7,"Learn to Swim: Children Intermediate Level 3 - Saturdays, 9am"
,B,Metropolitan Pool & Recreation Center,Adult,04/16/2022 04:00:00 PM,12,13,Metropolitan Learn to Swim: Adults
,M,Asser Levy Recreation Center,Seniors,06/22/2023 06:30:00 PM,11,7,Asser Levy Learn to Swim: Seniors
,B,Metropolitan Pool & Recreation Center,Level 2,11/25/2023 03:00:00 PM,35,22,Metropolitan Learn to Swim: Children Level 2
,M,Asser Levy Recreation Center,Level 2,05/13/2023 01:30:00 PM,29,6,Asser Levy Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,07/25/2023 08:00:00 PM,5,3,"Learn to Swim: Children Swimmer Level 4 - Tuesdays, 4pm"
,B,Metropolitan Pool & Recreation Center,Level 2,11/02/2024 01:30:00 PM,37,17,Metropolitan: Children's Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,03/09/2024 03:00:00 PM,12,7,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Saturdays, 10am"
,B,St. John's Recreation Center,,12/27/2022 05:00:00 PM,14,8,Holiday Learn to Swim St. John's Class C
,B,Metropolitan Pool & Recreation Center,,12/30/2022 03:00:00 PM,15,6,Holiday Learn to Swim Metropolitan Class A
,B,Metropolitan Pool & Recreation Center,,11/29/2023 09:00:00 PM,33,13,Metropolitan Learn to Swim: Children
,M,Constance Baker Motley Recreation Center,,11/22/2022 09:00:00 PM,21,8,Constance Baker Motley Learn to Swim: Children - Tuesdays
,B,Metropolitan Pool & Recreation Center,Adult,11/12/2022 05:30:00 PM,35,6,Metropolitan Learn to Swim: Adults
,M,Asser Levy Recreation Center,,04/12/2023 08:00:00 PM,30,21,Asser Levy Learn to Swim: Children - Wednesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,03/13/2024 08:00:00 PM,1,2,Learn to Swim: Children ADV. Swimmer Level 5 - Wednesdays 4pm
,X,St. Mary's Recreation Center,,05/16/2022 08:00:00 PM,17,11,St. Mary's Learn to Swim: Children (Monday)
,M,Asser Levy Recreation Center,Tot,06/24/2023 03:30:00 PM,15,10,Asser Levy Learn to Swim: Tots - Saturdays
,B,St. John's Recreation Center,,06/08/2022 08:00:00 PM,17,17,St. John's Learn to Swim: Children (Wednesday)
,M,Asser Levy Recreation Center,Adult,10/24/2024 05:00:00 PM,25,15,Asser Levy: Adults Learn to Swim
3,R,Lyons Pool,Level 1,08/23/2024 05:00:00 PM,,22,Session 3: Lyons Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,12/02/2023 05:45:00 PM,15,4,"Flushing Meadows Aquatics Center - Parent and Tot Learn to Swim (Saturdays, 12:45pm)"
,M,Asser Levy Recreation Center,,12/10/2022 05:00:00 PM,31,22,Asser Levy Learn to Swim: Children - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/26/2024 06:00:00 PM,7,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/26/2023 05:00:00 PM,7,3,Learn to Swim: Adult Beginner Level 1 - Mondays
,M,Asser Levy Recreation Center,Level 1,11/09/2024 03:30:00 PM,25,20,Asser Levy: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,11/09/2023 10:00:00 PM,12,12,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Thursdays, 5pm"
,Q,Roy Wilkins Recreation Center,Tot,05/14/2022 05:30:00 PM,10,8,Roy Wilkins Learn to Swim: Tots
,M,Asser Levy Recreation Center,Tot,04/09/2022 05:30:00 PM,9,9,Asser Levy Learn to Swim: Tots
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/23/2024 06:00:00 PM,15,14,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Fridays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/13/2023 10:00:00 PM,12,8,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Wednesdays, 6pm)"
,M,Gertrude Ederle Recreation Center,Tot,12/11/2021 05:30:00 PM,12,8,Gertrude Ederle Learn to Swim: Tots
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/24/2024 11:00:00 PM,12,5,"Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays, 7pm"
,B,St. John's Recreation Center,Adult,05/11/2024 05:00:00 PM,31,3,St. John's Learn to Swim: Adults
3,Q,Fisher Pool,Level 1,08/11/2023 06:00:00 PM,16,14,Session 3: Fisher Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,09/27/2023 08:00:00 PM,11,6,Learn to Swim: Children Intermediate Level 3 - Wednesdays 4pm
,Q,Roy Wilkins Recreation Center,Tot,01/21/2023 05:30:00 PM,7,8,Roy Wilkins Learn to Swim: Tots - Saturdays
,Q,Roy Wilkins Recreation Center,,11/08/2024 07:00:00 PM,26,13,Roy Wilkins: Senior Learn to Swim (Beginner)
1,R,Lyons Pool,Level 2,07/22/2024 04:00:00 PM,40,7,Session 1: Lyons Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,03/11/2024 08:00:00 PM,15,7,"Learn to Swim: Children Intermediate Level 3 - Mondays, 4pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,03/06/2024 10:00:00 PM,14,8,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Wednesdays, 5pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,09/07/2023 08:00:00 PM,9,6,Learn to Swim: Children Swimmer Level 4 - Thursdays 4pm
3,Q,Fisher Pool,Level 1,08/16/2024 05:00:00 PM,23,17,Session 3: Fisher Pool - Children's Learn to Swim Level 1 (Class A)
,,Offsite Locations,,04/12/2023 03:00:00 PM,24,14,Holiday Learn to Swim George Washington High School Class B
,Q,Flushing Meadows Corona Park Aquatics Center,,04/14/2023 04:00:00 PM,30,14,Holiday Learn to Swim Class C
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,11/19/2024 05:00:00 PM,2,1,FMAC: Parent and Tot Learn to Swim
,M,Gertrude Ederle Recreation Center,Level 1,12/17/2022 03:30:00 PM,14,8,Gertrude Ederle Saturday Learn to Swim Level 1
,M,Gertrude Ederle Recreation Center,Level 2,03/16/2024 01:30:00 PM,20,11,Gertrude Ederle Saturday Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,,05/02/2024 08:00:00 PM,26,10,Roy Wilkins Learn To Swim: Children - Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,08/08/2023 11:00:00 PM,14,10,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 (Tuesday, 7pm)"
,B,Metropolitan Pool & Recreation Center,Level 1,08/15/2023 07:15:00 PM,43,21,Metropolitan Recreation Center - Children's Learn to Swim Level 1 (Tuesdays)
,Q,Roy Wilkins Recreation Center,,11/15/2022 09:00:00 PM,15,12,Roy Wilkins' Learn To Swim: Children - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,12/02/2023 03:00:00 PM,11,7,Flushing Meadows Aquatics Center-Children's Learn to Swim Level 2 (Saturdays 10am)
,M,Asser Levy Recreation Center,Level 1,01/22/2022 05:30:00 PM,14,14,Asser Levy Learn to Swim: Children Level 1
2,B,Red Hook Pool,Level 2,07/31/2024 03:00:00 PM,,20,Session 2: Red Hook Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Roy Wilkins Recreation Center,Adult,05/13/2023 05:15:00 PM,30,7,Roy Wilkins Learn to Swim: Adults - Saturdays
,M,Chelsea Recreation Center,Adult,11/19/2024 07:30:00 PM,28,9,Chelsea: Adult Learn to Swim (Level 2B)
,B,St. John's Recreation Center,Adult,12/03/2022 06:15:00 PM,25,25,St. John's Learn to Swim: Adults
,M,Asser Levy Recreation Center,,12/28/2023 04:00:00 PM,20,14,Holiday Learn to Swim Asser Levy Class A
,M,Gertrude Ederle Recreation Center,Adult,12/16/2023 05:00:00 PM,30,9,Gertrude Ederle Learn to Swim: Adults
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,06/24/2023 04:00:00 PM,12,1,Learn to Swim: Tiny Tots
,Q,Roy Wilkins Recreation Center,Adult,11/18/2023 06:00:00 PM,22,6,Roy Wilkins Learn to Swim: Adults - Saturdays
3,Q,Fisher Pool,Level 1,08/23/2024 06:00:00 PM,,14,Session 3: Fisher Pool - Children's Learn to Swim Level 1 (Class B)
1,,Hamilton Fish Pool,,07/17/2023 06:00:00 PM,48,14,Session I Children Learn to Swim Hamilton Fish Pool Level IB
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,11/18/2023 03:00:00 PM,11,6,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Saturdays,10am)"
,B,St. John's Recreation Center,Level 1,04/13/2024 03:30:00 PM,30,8,St. John's Saturday Children Learn to Swim Level 1
,B,Metropolitan Pool & Recreation Center,Level 2,05/18/2024 02:00:00 PM,38,18,Metropolitan Learn to Swim: Children Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,08/19/2024 09:00:00 PM,11,9,FMAC: Children's Learn to Swim (Level 5)
,M,Constance Baker Motley Recreation Center,Level 1,06/03/2023 02:30:00 PM,25,15,Constance Baker Motley Saturday Children Learn to Swim Level 1
,B,Metropolitan Pool & Recreation Center,Level 2,01/22/2022 03:00:00 PM,11,1,Metropolitan Learn to Swim: Children Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,06/20/2024 08:00:00 PM,2,2,Flushing Meadows Aquatic Center Children Learn to Swim: ADV. Swimmer Level 5 - Thursdays 4pm
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/15/2023 05:00:00 PM,7,4,Learn to Swim: Adult Advanced Beginner Level 2 - Thursdays
,M,Gertrude Ederle Recreation Center,,02/20/2023 04:00:00 PM,17,7,Holiday Learn to Swim Gertrude Ederle Class A
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,11/25/2023 05:00:00 PM,15,4,"Learn to Swim: Parent and Tiny Tots - (Saturdays, 12pm)"
,,Hamilton Fish Pool,Tot,07/26/2023 03:00:00 PM,21,17,Session ll Tots Learn to Swim Hamilton Fish Pool Class A
,M,Asser Levy Recreation Center,Level 2,10/22/2022 01:30:00 PM,7,7,Asser Levy Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1B,10/28/2024 09:00:00 PM,21,12,FMAC: Children's Learn to Swim (Level 1B)
,B,Metropolitan Pool & Recreation Center,,04/18/2022 08:00:00 PM,18,19,Metropolitan Learn to Swim: Children (Monday)
,B,Metropolitan Pool & Recreation Center,Level 2,04/16/2022 01:30:00 PM,13,14,Metropolitan Learn to Swim Level 2
,B,Metropolitan Pool & Recreation Center,Tot,11/05/2022 04:00:00 PM,20,1,Metropolitan Learn to Swim: Tots - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/20/2023 06:00:00 PM,2,1,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,08/01/2024 10:00:00 PM,24,17,FMAC: Children's Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/15/2024 05:00:00 PM,34,27,FMAC: Adult Learn to Swim (Level 1)
,Q,Roy Wilkins Recreation Center,,04/27/2022 05:45:00 PM,4,5,Senior Learn to Swim
,M,Asser Levy Recreation Center,,11/16/2022 09:00:00 PM,17,17,Asser Levy Learn to Swim: Children - Wednesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,09/02/2023 07:00:00 PM,10,6,"Flushing Meadows Aquatics Center - Adult Learn to Swim Level 1 (Saturdays, 3pm)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,02/03/2024 03:00:00 PM,9,8,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Saturdays, 10am"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/13/2023 06:00:00 PM,5,5,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Mondays
,M,Asser Levy Recreation Center,Level 2,04/29/2023 01:30:00 PM,29,20,Asser Levy Saturday Children Learn to Swim Level 2
,B,St. John's Recreation Center,,05/02/2022 08:00:00 PM,18,13,St. John's Learn to Swim: Children (Monday)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,08/13/2024 09:00:00 PM,26,26,FMAC: Children's Learn to Swim (Level 3)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,11/09/2024 04:00:00 PM,16,6,FMAC: Children's Learn to Swim (Level 1)
2,,Hamilton Fish Pool,Level 1A,08/03/2023 05:00:00 PM,48,30,Session II Children Learn to Swim Hamilton Fish Pool Level 1A
,Q,Flushing Meadows Corona Park Aquatics Center,,02/20/2024 04:00:00 PM,30,21,Holiday Learn to Swim Flushing Meadows Pool Class B
,Q,Roy Wilkins Recreation Center,Seniors,01/26/2022 06:45:00 PM,2,2,Roy Wilkins  Learn to Swim: Seniors
,X,St. Mary's Recreation Center,Tot,06/04/2022 04:30:00 PM,6,6,St. Mary's Learn to Swim:Tots
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/15/2024 06:00:00 PM,20,7,FMAC: Adult Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,,06/24/2023 04:45:00 PM,8,3,Learn to Swim: TOTS
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,06/08/2024 01:00:00 PM,8,4,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Saturdays, 9am"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/26/2024 05:00:00 PM,14,3,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Wednesdays
3,R,Lyons Pool,Level 2,08/10/2023 05:00:00 PM,25,18,Session 3: Lyons Pool - Children's Learn to Swim Level 2 (Class B)
2,Q,Fisher Pool,Level 1,07/30/2024 06:00:00 PM,,17,Session 2: Fisher Pool - Children's Learn to Swim Level 1 (Class B)
,B,St. John's Recreation Center,Adult,06/03/2023 05:15:00 PM,28,12,St. John's Learn to Swim: Adults - Saturdays
,M,Gertrude Ederle Recreation Center,Tot,01/20/2024 04:30:00 PM,24,6,Gertrude Ederle Learn to Swim: Tots - Saturday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/28/2024 09:00:00 PM,10,3,"Flushing Meadows Aquatics Center- Children Learn to Swim Level 2 - Tuesdays, 5pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,05/02/2023 08:00:00 PM,4,4,Learn to Swim: Children ADV. Swimmer Level 5
,M,Asser Levy Recreation Center,,04/23/2024 04:00:00 PM,21,17,Holiday Learn to Swim Asser Levy Class B
,B,Metropolitan Pool & Recreation Center,,02/21/2022 09:00:00 PM,15,9,Metropolitan Learn to Swim: Children
3,R,Lyons Pool,Level 2,08/09/2023 05:00:00 PM,39,29,Session 3: Lyons Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,03/05/2024 09:00:00 PM,7,6,"Learn to Swim: Children Swimmer Level 4 - Tuesdays, 4pm"
,M,Chelsea Recreation Center,Level 1,08/22/2024 06:00:00 PM,34,27,Chelsea Recreation Center: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/16/2024 08:00:00 PM,14,3,FMAC: Adult Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,04/06/2023 04:00:00 PM,9,4,Learn to Swim: Senior Beginner Level 1 Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,06/06/2023 04:00:00 PM,8,8,Learn to Swim: Senior ADV. Beginner Level 2 - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,09/18/2023 08:00:00 PM,2,2,"Learn to Swim: Children Swimmer Level 4 - Mondays, 4pm"
,M,Constance Baker Motley Recreation Center,Tot,04/13/2024 03:30:00 PM,13,1,Constance Baker Motley Learn to Swim: Tots - Saturday
,M,Constance Baker Motley Recreation Center,Tot,04/06/2024 03:30:00 PM,17,9,Constance Baker Motley Learn to Swim: Tots - Saturday
,B,St. John's Recreation Center,Level 2,06/10/2023 02:30:00 PM,33,9,St. Johns Saturday Children Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,Level 1,06/10/2023 03:30:00 PM,30,24,Roy Wilkins Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,11/11/2023 04:00:00 PM,4,4,"Flushing Meadows Aquatics Center - Children's Learn to Swim Level 2 (Saturdays, 11am)"
1,X,Crotona Pool,Level 1,07/11/2024 01:00:00 PM,,11,Session 1: Crotona Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Roy Wilkins Recreation Center,,11/06/2023 09:00:00 PM,44,18,Roy Wilkins' Learn To Swim: Children - Monday
,B,St. John's Recreation Center,Level 1,11/02/2024 03:30:00 PM,25,15,St. John's: Children's Learn to Swim (Level 1)
,M,Asser Levy Recreation Center,Tot,11/12/2022 04:30:00 PM,20,7,Asser Levy Learn to Swim: Tots - Saturdays
,B,Metropolitan Pool & Recreation Center,,05/29/2024 08:00:00 PM,35,15,Metropolitan Children Learn to Swim: Wednesdays
,M,Gertrude Ederle Recreation Center,Level 1,02/17/2024 03:30:00 PM,28,11,Gertrude Ederle Saturday Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,06/01/2023 04:00:00 PM,7,2,Learn to Swim: Senior Beginner Level 1 Thursday
,Q,Roy Wilkins Recreation Center,,04/04/2024 08:00:00 PM,27,12,Roy Wilkins Learn To Swim: Children - Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/14/2024 06:00:00 PM,14,6,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Wednesday
,M,Constance Baker Motley Recreation Center,Level 1,11/04/2023 02:30:00 PM,15,15,Constance Baker Motley Saturday Children Learn to Swim Level 1
,M,Constance Baker Motley Recreation Center,,11/07/2024 09:00:00 PM,25,12,Constance Baker Motley: Afterschool Learn to Swim
,B,Metropolitan Pool & Recreation Center,Tot,04/29/2023 04:00:00 PM,21,6,Metropolitan Learn to Swim: Tots - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,12/16/2023 08:00:00 PM,16,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Saturday
,B,Metropolitan Pool & Recreation Center,Level 2,05/04/2024 02:00:00 PM,38,16,Metropolitan Learn to Swim: Children Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,05/11/2023 08:00:00 PM,10,9,"Learn to Swim: Children Intermediate Level 3 - Thursdays, 4pm"
,B,Metropolitan Pool & Recreation Center,,02/21/2023 04:00:00 PM,22,16,Holiday Learn to Swim Metropolitan Class B
,B,Metropolitan Pool & Recreation Center,Adult,06/24/2023 04:30:00 PM,32,4,Metropolitan Learn to Swim: Adult - Saturday
,M,Constance Baker Motley Recreation Center,,02/02/2023 09:00:00 PM,15,5,Constance Baker Motely Learn to Swim: Children - Thursdays - ADMIN ONLY
,M,Asser Levy Recreation Center,Adult,06/15/2024 04:00:00 PM,23,1,Asser Levy Learn to Swim: Adults
,B,Metropolitan Pool & Recreation Center,Level 1,01/29/2022 04:00:00 PM,17,1,Metropolitan Learn to Swim: Children Level 1
,B,Metropolitan Pool & Recreation Center,Tot,01/21/2023 05:00:00 PM,19,5,Metropolitan Learn to Swim: Tots - Saturdays - ADMIN ONLY
,B,St. John's Recreation Center,,10/18/2023 08:00:00 PM,10,5,St. John's Learn to Swim: Children
,B,St. John's Recreation Center,,06/06/2024 01:00:00 PM,27,11,St. John's Senior Learn to Swim: Thursdays
,,Offsite Locations,,04/26/2024 03:00:00 PM,,25,Holiday Learn to Swim Evander Childs Educational Campus Class B
,M,Chelsea Recreation Center,Level 2,10/21/2023 01:30:00 PM,10,9,Chelsea Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/30/2023 02:00:00 PM,15,10,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Saturdays,10am)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,02/19/2024 10:00:00 PM,10,7,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 5pm"
,M,Gertrude Ederle Recreation Center,Level 2,11/02/2024 01:30:00 PM,31,14,Gertrude Ederle: Children's Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,06/01/2023 04:00:00 PM,8,5,Learn to Swim: Senior ADV. Beginner Level 2 - Thursdays
,M,Chelsea Recreation Center,,11/06/2023 09:00:00 PM,25,18,Chelsea Learn to Swim: Children - Mondays
,M,Constance Baker Motley Recreation Center,,04/18/2023 08:00:00 PM,25,22,Constance Baker Motley Learn to Swim: Children - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,04/20/2023 10:00:00 PM,10,7,"Learn to Swim: Children ADV. Beginner Level 2 - Thursdays, 6pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/20/2024 04:00:00 PM,14,12,FMAC: Adult Learn to Swim (Level 2)
,B,St. John's Recreation Center,Level 1,02/05/2022 03:45:00 PM,14,2,St. John's Learn to Swim: Children Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/10/2023 05:15:00 PM,8,1,Learn to Swim: Adult Beginner Level 1 - Saturdays
,B,Red Hook Pool,Level 1B,07/10/2023 06:00:00 PM,48,10,Session l Children Learn to Swim Red Hook Pool Level 1B
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,11/16/2024 07:00:00 PM,7,3,FMAC: Children's Learn to Swim (Level 5)
,M,Chelsea Recreation Center,Tot,11/25/2023 04:30:00 PM,15,8,Chelsea Learn to Swim: Tots - Saturdays
3,B,Red Hook Pool,Level 2,08/11/2023 03:00:00 PM,48,22,Session 3: Red Hook Pool - Children's Learn to Swim Level 2 (Class A)
,B,Metropolitan Pool & Recreation Center,,12/17/2022 05:00:00 PM,55,7,Metropolitan Learn to Swim: Children - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,01/31/2024 12:00:00 AM,5,5,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Tuesdays, 7pm"
,M,Asser Levy Recreation Center,,11/12/2022 05:00:00 PM,31,20,Asser Levy Learn to Swim: Children - Saturdays
,B,St. John's Recreation Center,Tot,02/18/2023 05:30:00 PM,20,9,St. John's Learn to Swim: Tots - Saturdays - ADMIN ONLY
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,01/22/2024 09:00:00 PM,3,1,Learn to Swim: Children ADV. Swimmer Level 5 - Mondays 4pm
,B,Metropolitan Pool & Recreation Center,Level 2,12/18/2021 03:00:00 PM,11,8,Metropolitan Learn to Swim: Children Level 2
3,,Hamilton Fish Pool,Tot,08/15/2024 04:00:00 PM,,8,Session 3: Hamilton Fish Pool - Tots Learn to Swim (Class B)
,B,Metropolitan Pool & Recreation Center,Level 1,02/05/2022 04:00:00 PM,17,6,Metropolitan Learn to Swim: Children Level 1
1,Q,Fisher Pool,Level 1,07/22/2024 05:00:00 PM,,11,Session 1: Fisher Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,11/14/2024 09:00:00 PM,24,15,FMAC: Children's Learn to Swim (Level 3)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/22/2024 04:00:00 PM,15,11,FMAC: Adult Learn to Swim (Level 2)
,B,Metropolitan Pool & Recreation Center,Tot,01/21/2023 05:00:00 PM,1,1,Metropolitan Learn to Swim: Tots - Saturdays
,Q,Roy Wilkins Recreation Center,,11/07/2024 09:00:00 PM,27,8,Roy Wilkins: Afterschool Learn to Swim
,M,Constance Baker Motley Recreation Center,Level 2,08/05/2024 05:00:00 PM,21,15,Constance Baker Motley Recreation Center: Children's Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,08/01/2023 08:00:00 PM,18,9,"Learn to Swim: Children Intermediate Level 3 - Tuesdays, 4pm"
,B,Metropolitan Pool & Recreation Center,,02/23/2022 09:00:00 PM,11,9,Metropolitan Learn to Swim: Children
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,05/29/2024 11:00:00 PM,17,1,Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Wednesdays 7pm
